max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
0 : mul(mul(9, -24), add(-3, 5))
0 : add(mul(41, -27), add(21, 27))
0 : add(mul(10, -27), add(5, 45))
0 : add(mul(-9, -9), mul(-27, 13))
0 : add(mul(10, 33), add(-11, -9))
0 : mul(add(7, 41), mul(-9, -11))
0 : mul(mul(13, 27), mul(43, 21))
0 : mul(mul(33, 41), mul(5, 5))
0 : add(mul(-1, 11), mul(17, 41))
0 : mul(mul(19, 23), add(45, 7))
0 : mul(add(9, 41), add(k, 33))
1 : add(add(-24, 6), add(-24, 45))
0 : add(mul(-2, 13), mul(-9, -27))
0 : mul(add(9, 41), add(41, -11))
0 : mul(add(41, 3), mul(5, k))
0 : mul(mul(26, 9), add(7, -24))
0 : add(add(3, 15), add(-15, -27))
0 : mul(mul(3, 3), add(-27, 29))
0 : add(mul(5, 13), add(13, -4))
0 : mul(add(21, 3), mul(-27, 7))
0 : mul(add(5, -15), mul(49, 45))
0 : mul(add(25, -27), add(41, 41))
0 : mul(add(k, 49), add(-27, 2))
0 : add(add(41, 13), add(add(25, 13), -27))
0 : mul(add(29, -11), add(15, 7))
0 : add(add(41, 2), add(49, 33))
0 : add(add(21, 2), mul(3, 5))
0 : add(add(21, 23), mul(2, -15))
0 : add(mul(-27, 21), add(-27, 21))
0 : add(mul(13, 41), add(10, 7))
0 : add(add(7, 7), add(49, 45))
0 : mul(add(-9, -9), mul(13, 41))
0 : add(add(-27, 45), add(29, 4))
0 : mul(add(41, 41), add(k, 23))
0 : add(mul(-27, 10), add(19, 45))
0 : add(mul(13, 10), add(17, 3))
0 : mul(add(-3, 21), add(-9, 41))
0 : mul(add(19, 21), mul(10, 41))
0 : mul(mul(2, 21), mul(19, 5))
0 : mul(mul(25, k), add(21, -27))
0 : add(add(7, -27), add(-27, 23))
0 : mul(add(2, 21), mul(-1, 13))
0 : mul(add(23, k), add(-15, 25))
0 : add(mul(41, 3), mul(5, 17))
0 : mul(mul(25, 6), mul(-27, add(-27, 41)))
0 : mul(add(19, 21), add(7, 21))
0 : add(add(1, 7), mul(-27, -27))
0 : add(mul(-9, 41), add(45, -27))
0 : add(mul(-9, 41), add(9, 25))
0 : mul(add(45, -3), add(19, -27))
0 : mul(mul(41, -11), mul(-9, 2))
0 : mul(add(-9, -27), mul(-27, k))
0 : add(mul(21, -15), add(0, 13))
0 : add(mul(9, -11), mul(-11, 7))
0 : mul(add(41, 19), mul(0, 41))
0 : mul(mul(-3, 45), mul(7, 5))
0 : mul(add(31, 23), add(23, 13))
0 : mul(add(-24, -15), mul(-27, 49))
0 : mul(mul(-27, 13), add(13, -3))
0 : mul(mul(-1, 41), add(25, 5))
0 : add(add(13, 7), add(29, 17))
0 : mul(mul(45, 45), add(-9, -27))
0 : mul(mul(-3, -11), add(15, -24))
0 : add(mul(-27, 1), mul(9, 9))
0 : mul(add(45, 13), mul(-3, 41))
0 : mul(add(3, -27), add(10, 33))
0 : mul(mul(7, -2), mul(-2, 7))
0 : mul(add(7, -11), mul(15, 19))
0 : add(mul(13, 29), add(21, 5))
0 : add(add(4, -27), mul(11, 15))
0 : mul(add(15, -11), add(45, 7))
0 : mul(mul(-27, 9), add(41, 3))
0 : add(add(-24, -27), mul(-11, -27))
0 : mul(add(mul(1, 45), 45), add(9, 21))
0 : mul(mul(-15, 41), mul(45, 5))
0 : mul(add(-9, 7), add(7, 26))
0 : mul(mul(13, 11), add(25, -27))
0 : add(add(45, -27), add(-3, 45))
0 : add(mul(19, -9), mul(9, 31))
0 : add(mul(41, 41), add(21, 41))
0 : add(add(49, 7), add(10, 45))
0 : mul(mul(2, 49), add(9, -11))
0 : mul(add(-3, 21), add(17, 33))
0 : mul(add(5, -11), mul(5, -27))
0 : mul(add(k, 41), mul(7, 45))
0 : mul(add(41, 41), add(23, 49))
0 : mul(mul(7, 41), mul(17, -1))
0 : mul(mul(k, -1), add(7, 41))
0 : add(add(10, 21), add(8, 45))
0 : add(add(41, 41), mul(-15, 41))
0 : mul(mul(6, -27), mul(-27, 3))
0 : mul(mul(4, 33), add(-1, 23))
0 : mul(mul(-2, 3), add(-3, 5))
