max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 500, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
20 : add(add(11, 41), add(k, 5))
17 : add(add(9, k), mul(21, 5))
21 : add(mul(9, 3), add(3, k))
20 : add(add(k, 1), mul(6, 9))
18 : add(add(15, -3), mul(k, k))
19 : add(mul(k, k), add(5, 5))
30 : add(mul(k, k), add(5, k))
24 : add(add(-15, k), mul(4, 7))
23 : add(add(-3, 2), add(k, -15))
30 : add(mul(37, k), add(k, 29))
25 : add(add(-3, 5), add(9, k))
24 : add(add(k, -3), add(7, -10))
21 : add(add(5, 21), add(5, k))
21 : add(add(k, 23), add(add(-3, 9), -3))
23 : add(add(-18, 5), add(k, -2))
25 : add(add(5, -15), add(21, k))
20 : add(add(k, 37), add(21, 9))
6 : add(mul(k, k), add(4, 37))
46 : add(mul(k, 9), add(k, 7))
24 : add(add(add(k, 5), 5), add(2, -4))
16 : add(mul(5, 41), add(k, 29))
35 : add(mul(21, 5), add(k, k))
25 : add(add(-3, k), add(4, 9))
19 : add(add(k, 2), add(6, 41))
22 : add(add(15, k), add(5, 9))
21 : add(add(0, k), add(37, 15))
17 : add(mul(37, 3), add(3, k))
20 : add(add(k, 41), add(5, 8))
24 : add(add(5, k), mul(2, 5))
20 : add(mul(5, 17), add(-3, k))
15 : add(add(37, k), mul(9, 23))
17 : add(mul(37, 3), add(k, 9))
24 : add(add(-37, k), add(37, 9))
21 : add(add(-15, k), add(41, 7))
15 : add(mul(13, 21), add(9, k))
20 : add(add(41, 41), add(-15, k))
20 : add(add(37, 9), add(k, 9))
23 : add(mul(21, -1), add(k, 9))
24 : add(add(-15, k), add(4, 7))
20 : add(add(5, 9), add(41, k))
57 : add(add(5, k), mul(k, 5))
24 : add(add(9, k), add(-2, 7))
19 : add(mul(15, 3), add(3, k))
19 : add(mul(-2, 15), add(-2, k))
17 : add(mul(37, 41), add(k, 21))
25 : add(add(21, 2), add(k, -18))
13 : add(mul(k, k), add(-2, 21))
22 : add(add(-18, k), add(41, 5))
24 : add(add(-15, k), mul(15, 2))
17 : add(mul(k, k), mul(3, 21))
22 : add(add(-18, 37), add(k, 9))
25 : add(add(k, -15), add(11, 7))
21 : add(add(add(21, k), 5), mul(2, 5))
21 : add(add(11, 21), add(k, 5))
39 : add(add(k, -18), add(-3, k))
21 : add(add(11, 9), add(k, 11))
22 : add(add(-3, 2), add(k, -18))
21 : add(add(41, 2), add(k, 9))
19 : add(add(k, 2), add(6, 41))
21 : add(add(11, 29), add(3, k))
21 : add(mul(0, k), add(k, 27))
21 : add(add(k, 21), add(-2, 5))
25 : add(add(13, -18), add(3, k))
18 : add(mul(25, 5), add(k, -1))
15 : add(add(-15, 9), mul(29, k))
0 : add(add(mul(k, 9), 9), add(9, -3))
57 : add(mul(5, k), add(5, k))
20 : add(mul(5, 13), add(6, k))
26 : add(add(5, 2), mul(k, k))
23 : add(add(-3, 5), add(k, -15))
19 : add(add(k, -15), mul(11, 7))
22 : add(add(5, 5), add(k, 11))
32 : add(mul(15, 21), add(k, k))
22 : add(add(-37, 2), add(k, 15))
