max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.1, 

Maximum Fitness: 86
Fitness score : Individual 
21 : add(add(39, -1), add(-12, k))
26 : add(add(add(-8, mul(add(k, -19), add(-19, 17))), k), add(31, add(-1, 41)))
23 : add(add(k, -12), mul(-1, -1))
21 : add(add(43, 0), add(-1, k))
5 : add(mul(add(-8, mul(add(k, 11), add(-1, 17))), k), add(31, add(9, -19)))
33 : add(add(k, k), mul(5, 39))
9 : add(mul(add(13, add(add(k, 11), add(-19, -19))), k), add(31, add(9, 41)))
21 : add(add(k, -1), add(21, 13))
26 : add(add(-1, k), add(-12, 15))
19 : add(add(21, k), add(43, 41))
3 : add(mul(add(13, mul(add(-1, k), add(-19, k))), k), add(0, add(4, 41)))
2 : add(mul(add(17, mul(add(-1, k), add(5, 7))), k), add(41, add(17, 39)))
20 : add(add(15, 21), add(21, k))
14 : add(mul(39, 39), add(39, k))
21 : add(add(21, -1), add(13, k))
21 : add(add(19, k), mul(5, 4))
1 : add(add(k, 5), add(k, -19))
2 : add(mul(add(-8, mul(add(k, 11), add(-1, 13))), k), add(31, add(9, k)))
21 : add(add(-1, k), add(41, -1))
12 : add(add(39, -1), mul(k, -1))
1 : add(mul(-11, k), add(39, 15))
24 : add(add(-19, 7), add(k, 21))
24 : add(add(1, -19), add(k, 13))
12 : add(mul(add(17, add(add(-12, k), add(39, -8))), k), add(21, add(41, 41)))
26 : add(add(-1, k), add(-12, 15))
21 : add(add(k, -1), add(21, 13))
25 : add(add(-8, k), add(-8, 21))
23 : add(add(k, -1), add(39, -19))
14 : add(mul(k, 19), add(41, 13))
15 : add(add(k, 13), mul(41, 15))
10 : add(mul(add(-1, mul(add(k, k), add(-19, 19))), k), add(39, add(9, -19)))
19 : add(add(k, -19), mul(31, 5))
16 : add(mul(k, k), add(-12, 1))
8 : add(mul(add(13, add(add(-1, k), add(-19, 17))), k), add(0, add(4, 41)))
21 : add(add(39, 0), add(k, 13))
12 : add(add(39, -1), mul(k, -1))
21 : add(add(39, 21), add(k, -1))
3 : add(mul(add(-19, add(mul(k, -1), add(13, 13))), k), add(21, add(-19, 41)))
22 : add(add(k, -1), add(21, 21))
25 : add(add(-1, k), mul(0, 21))
24 : add(add(7, k), add(1, 7))
25 : add(add(-19, -1), add(k, 31))
20 : add(mul(5, 39), mul(-1, k))
