max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.5, 

Maximum Fitness: 86
Fitness score : Individual 
39 : add(add(47, k), add(k, 12))
21 : add(add(k, 3), add(19, 13))
22 : add(add(11, -10), add(19, k))
19 : add(mul(3, 11), add(41, k))
22 : add(add(k, -10), add(19, 13))
20 : add(add(7, 23), add(21, k))
15 : add(mul(53, 12), add(k, 7))
12 : add(add(-21, 27), mul(k, k))
15 : add(add(k, 21), mul(-10, 7))
19 : add(add(12, -27), mul(k, 7))
19 : add(add(41, 15), add(21, k))
19 : add(add(k, 23), add(45, 5))
32 : add(add(3, k), mul(21, k))
23 : add(add(k, 0), add(-3, -9))
20 : add(add(18, 27), add(21, k))
21 : add(mul(15, 3), add(13, k))
3 : add(add(11, 17), mul(k, -3))
15 : add(mul(21, 13), add(k, 11))
10 : add(mul(k, 41), add(25, 53))
21 : add(add(13, 7), add(5, k))
16 : add(add(k, 67), mul(13, 41))
22 : add(add(0, 41), add(k, -21))
7 : add(mul(13, 13), mul(-8, k))
19 : add(add(21, k), add(47, 13))
18 : add(mul(k, 13), add(-8, 12))
1 : mul(add(k, -21), add(-10, 13))
21 : add(mul(0, 17), add(-21, k))
17 : add(mul(7, k), mul(11, -9))
24 : add(add(-23, 3), add(13, k))
17 : add(mul(19, 19), add(k, 21))
16 : add(mul(17, 11), add(k, add(0, 18)))
17 : add(mul(17, 25), add(k, 4))
16 : add(add(13, 19), mul(k, 67))
19 : add(add(7, 35), add(37, k))
23 : add(add(5, 13), add(0, k))
31 : add(add(-9, -8), mul(k, k))
25 : add(add(13, 7), add(-21, k))
21 : add(add(k, 27), add(-10, 13))
26 : add(add(19, 67), mul(21, k))
18 : add(mul(17, 67), mul(k, 5))
14 : add(mul(k, k), mul(9, 53))
14 : add(add(k, -10), mul(5, -9))
20 : add(add(13, 27), add(k, 25))
38 : add(add(k, k), mul(3, 19))
20 : add(add(21, 21), add(18, k))
19 : add(add(21, 21), add(k, 35))
19 : add(mul(7, 41), mul(-1, k))
20 : add(add(13, 23), add(35, k))
5 : add(mul(k, k), mul(5, -23))
16 : add(add(4, k), mul(7, 35))
20 : add(add(19, k), add(7, 21))
11 : add(mul(13, mul(23, 13)), add(11, k))
28 : add(add(k, k), add(13, k))
28 : add(add(k, k), mul(21, 31))
21 : add(add(29, k), add(4, 19))
3 : add(mul(7, 53), mul(k, k))
19 : add(add(31, k), add(13, 45))
22 : add(add(7, k), add(21, 13))
16 : add(mul(41, 19), add(11, k))
19 : add(add(k, 13), add(21, 53))
15 : add(add(k, 7), mul(19, 33))
21 : add(add(k, 7), add(6, 21))
24 : add(add(17, 41), mul(21, k))
26 : add(mul(k, 21), add(5, 21))
23 : add(mul(21, 2), add(k, -23))
13 : add(add(k, 7), mul(33, 45))
22 : add(add(k, -9), mul(1, 37))
36 : add(add(-23, k), mul(23, k))
6 : add(mul(k, -23), mul(27, 21))
0 : add(mul(k, 35), add(18, 7))
0 : add(add(23, 7), mul(21, k))
16 : add(mul(7, 37), add(k, 41))
18 : add(add(17, 7), mul(19, k))
6 : add(mul(k, k), add(9, 53))
0 : add(mul(13, 21), mul(41, 19))
19 : add(add(25, 35), add(k, 19))
0 : add(add(7, 41), add(12, 17))
19 : add(add(31, 41), mul(7, k))
0 : add(add(-21, 37), add(4, 7))
0 : mul(add(-21, 21), add(27, k))
0 : mul(mul(-21, k), mul(7, 13))
25 : add(add(6, k), add(-3, 7))
15 : add(mul(k, 13), add(7, 35))
0 : mul(add(19, 41), add(67, k))
20 : add(add(41, -2), add(21, k))
0 : mul(add(-1, 21), add(13, -8))
0 : mul(add(53, 13), add(add(19, 29), 27))
1 : mul(add(-21, k), add(19, k))
0 : mul(add(3, 41), add(18, 11))
0 : add(add(15, 19), add(1, -8))
21 : add(add(21, -9), add(25, k))
16 : add(mul(23, 13), add(13, k))
0 : add(mul(7, -23), add(k, 7))
0 : mul(mul(k, -21), add(3, k))
20 : add(mul(7, k), add(13, -9))
0 : add(add(7, 19), add(15, 27))
0 : add(add(67, -23), add(k, k))
1 : add(add(31, 11), mul(-10, k))
0 : add(mul(k, 19), mul(21, k))
32 : add(add(k, 17), mul(21, k))
0 : mul(add(11, 23), mul(7, 19))
0 : add(mul(35, k), mul(-21, -3))
0 : add(mul(41, 13), add(-21, 53))
7 : add(add(13, 4), mul(k, k))
0 : add(mul(21, 19), add(11, 35))
0 : mul(mul(k, 31), mul(6, k))
1 : add(add(k, k), add(-23, -23))
